datetime,temp,precipprob,windgust,windspeed,visibility,uvindex,windchill (bike),Windchill (walk)
05:00:00,11.0,0.0,46.4,20.1,9.6,0.0,8.6,11.0
06:00:00,11.1,0.0,32.8,19.4,10.0,0.0,8.8,11.1
07:00:00,11.1,0.0,32.8,20.7,10.0,0.0,8.7,11.1
08:00:00,11.0,100.0,34.9,19.9,10.0,1.0,8.6,11.0
09:00:00,11.6,100.0,35.3,21.9,10.0,1.0,9.2,11.6
10:00:00,12.2,100.0,34.6,24.3,10.0,2.0,9.8,12.2
11:00:00,13.8,0.0,43.2,26.5,10.0,4.0,11.7,13.8
12:00:00,15.0,0.0,48.2,28.2,10.0,4.0,13.2,15.0
13:00:00,15.4,0.0,46.4,28.6,10.0,8.0,13.7,15.4
14:00:00,15.5,0.0,45.7,23.8,24.1,3.0,14.1,15.5
15:00:00,16.0,0.0,45.7,24.1,24.1,6.0,14.7,16.0
16:00:00,15.9,0.0,46.8,24.5,24.1,6.0,14.6,15.9
17:00:00,15.3,0.0,46.4,23.8,24.1,4.0,13.8,15.3
18:00:00,14.2,0.0,44.6,22.3,24.1,3.0,12.5,14.2
19:00:00,13.1,0.0,41.8,19.4,24.1,2.0,11.3,13.1
20:00:00,11.8,0.0,36.4,17.6,24.1,0.0,9.9,11.8
